timestamp,flag_armed,flag_external_manual_override_ok,flag_control_manual_enabled,flag_control_auto_enabled,flag_control_offboard_enabled,flag_control_rates_enabled,flag_control_attitude_enabled,flag_control_yawrate_override_enabled,flag_control_rattitude_enabled,flag_control_force_enabled,flag_control_acceleration_enabled,flag_control_velocity_enabled,flag_control_position_enabled,flag_control_altitude_enabled,flag_control_climb_rate_enabled,flag_control_termination_enabled,flag_control_fixed_hdg_enabled
227140428,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
227642304,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
228148061,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
228655147,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
229162055,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
229669231,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
230176054,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
230685129,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
231194983,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
231703159,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
232209120,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
232716061,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
233223074,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
233730230,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
234237381,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
234743181,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
235250515,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
235759094,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
236268075,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
236768160,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
237274174,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
237472112,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
237979284,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
238488152,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
238995107,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
